city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,latitude,longitude
Jacaraci,2917409.0,2020-07-11,True,1,0.0,0,0,0,-14.8541,-42.4329
Jacobina,2917508.0,2020-07-11,True,194,0.0103,2,2,1,-11.1812,-40.5117
Jaguaquara,2917607.0,2020-07-11,True,493,0.0041,2,29,2,-13.5248,-39.964
Jaguarari,2917706.0,2020-07-11,True,98,0.0,0,7,0,-10.2569,-40.1999
Jaguaripe,2917805.0,2020-07-11,True,58,0.0345,2,2,0,-13.1109,-38.8939
Jandaíra,2917904.0,2020-07-11,True,77,0.013,1,1,0,-11.5616,-37.7853
Jequié,2918001.0,2020-07-11,True,1675,0.0239,40,105,1,-13.8509,-40.0877
Jeremoabo,2918100.0,2020-07-11,True,24,0.0,0,3,0,-10.0685,-38.3471
Jitaúna,2918308.0,2020-07-11,True,44,0.0455,2,1,0,-14.0131,-39.8969
João Dourado,2918357.0,2020-07-11,True,118,0.0169,2,2,0,-11.3486,-41.6548
Juazeiro,2918407.0,2020-07-11,True,1361,0.0242,33,89,0,-9.41622,-40.5033
Jucuruçu,2918456.0,2020-07-11,True,9,0.0,0,0,0,-16.8488,-40.1641
Jussara,2918506.0,2020-07-11,True,16,0.0,0,0,0,-11.0431,-41.9702
Jussari,2918555.0,2020-07-11,True,16,0.0,0,1,0,-15.192,-39.491
Jussiape,2918605.0,2020-07-11,True,2,0.0,0,0,0,-13.5155,-41.5882
Lafaiete Coutinho,2918704.0,2020-07-11,True,13,0.0769,1,0,0,-13.6541,-40.2119
Laje,2918803.0,2020-07-11,True,26,0.0,0,0,0,-13.1673,-39.4213
Lajedinho,2919009.0,2020-07-11,True,2,0.0,0,0,0,-12.3529,-40.9048
Lajedo do Tabocal,2919058.0,2020-07-11,True,16,0.0,0,0,0,-13.4663,-40.2204
Lajedão,2918902.0,2020-07-11,True,8,0.0,0,0,0,-17.6056,-40.3383
Lauro de Freitas,2919207.0,2020-07-11,True,3376,0.0151,51,73,0,-12.8978,-38.321
Lençóis,2919306.0,2020-07-11,True,34,0.0,0,5,0,-12.5616,-41.3928
Licínio de Almeida,2919405.0,2020-07-11,True,12,0.0,0,0,0,-14.6842,-42.5095
Luís Eduardo Magalhães,2919553.0,2020-07-11,True,459,0.0065,3,9,0,-12.0956,-45.7866
Macajuba,2919603.0,2020-07-11,True,11,0.0,0,1,0,-12.1326,-40.3571
Macarani,2919702.0,2020-07-11,True,50,0.02,1,0,0,-15.5646,-40.4209
Macaúbas,2919801.0,2020-07-11,True,7,0.0,0,2,0,-13.0186,-42.6945
Macururé,2919900.0,2020-07-11,True,47,0.0,0,4,0,-9.16226,-39.0518
Madre de Deus,2919926.0,2020-07-11,True,322,0.0093,3,15,0,-12.7446,-38.6153
Maetinga,2919959.0,2020-07-11,True,1,0.0,0,0,0,-14.6623,-41.4915
Maiquinique,2920007.0,2020-07-11,True,22,0.0,0,3,0,-15.624,-40.2587
Mairi,2920106.0,2020-07-11,True,87,0.0,0,0,0,-11.7107,-40.1437
Malhada,2920205.0,2020-07-11,True,2,0.0,0,0,0,-14.3371,-43.7686
Malhada de Pedras,2920304.0,2020-07-11,True,3,0.0,0,0,0,-14.3847,-41.8842
Manoel Vitorino,2920403.0,2020-07-11,True,71,0.0282,2,2,1,-14.1476,-40.2399
Mansidão,2920452.0,2020-07-11,True,38,0.0263,1,0,0,-10.7227,-44.0428
Maracás,2920502.0,2020-07-11,True,71,0.0282,2,7,0,-13.4355,-40.4323
Maragogipe,2920601.0,2020-07-11,True,130,0.0308,4,2,0,-12.776,-38.9175
Maraú,2920700.0,2020-07-11,True,55,0.0364,2,5,0,-14.1035,-39.0137
Mascote,2920908.0,2020-07-11,True,21,0.0,0,0,0,-15.5542,-39.3016
Mata de São João,2921005.0,2020-07-11,True,231,0.0043,1,20,0,-12.5307,-38.3009
Matina,2921054.0,2020-07-11,True,0,0.0,0,0,0,-13.9109,-42.8439
Medeiros Neto,2921104.0,2020-07-11,True,181,0.0055,1,25,0,-17.3707,-40.2238
Miguel Calmon,2921203.0,2020-07-11,True,24,0.0417,1,0,0,-11.4299,-40.6031
Milagres,2921302.0,2020-07-11,True,62,0.0161,1,2,0,-12.8646,-39.8611
Mirangaba,2921401.0,2020-07-11,True,6,0.0,0,0,0,-10.960999999999999,-40.574
Mirante,2921450.0,2020-07-11,True,8,0.125,1,0,0,-14.2385,-40.7718
