city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Eunápolis,2910727.0,2020-07-01,True,653,0.0184,12,41,2,-16.3715,-39.5821
Feira da Mata,2910776.0,2020-07-01,True,4,0.0,0,0,0,-14.2044,-44.2744
Feira de Santana,2910800.0,2020-07-01,True,3289,0.0149,49,93,1,-12.2664,-38.9663
Filadélfia,2910859.0,2020-07-01,True,87,0.023,2,13,0,-10.7405,-40.1437
Firmino Alves,2910909.0,2020-07-01,True,3,0.0,0,0,0,-14.9823,-39.9269
Floresta Azul,2911006.0,2020-07-01,True,58,0.0,0,0,0,-14.8629,-39.6579
Formosa do Rio Preto,2911105.0,2020-07-01,True,15,0.0,0,3,0,-11.0328,-45.193000000000005
Fátima,2910750.0,2020-07-01,True,16,0.0,0,0,0,-10.616,-38.2239
Gandu,2911204.0,2020-07-01,True,563,0.0178,10,64,0,-13.7441,-39.4747
Gentio do Ouro,2911303.0,2020-07-01,True,18,0.0,0,0,0,-11.4342,-42.5077
Glória,2911402.0,2020-07-01,True,19,0.0526,1,0,0,-9.34382,-38.2544
Gongogi,2911501.0,2020-07-01,True,19,0.1053,2,0,0,-14.3195,-39.469
Governador Mangabeira,2911600.0,2020-07-01,True,22,0.0455,1,3,0,-12.5994,-39.0412
Guajeru,2911659.0,2020-07-01,True,2,0.0,0,0,0,-14.5467,-41.9381
Guanambi,2911709.0,2020-07-01,True,84,0.0,0,2,0,-14.2231,-42.7799
Guaratinga,2911808.0,2020-07-01,True,49,0.0408,2,2,0,-16.5833,-39.7847
Heliópolis,2911857.0,2020-07-01,True,8,0.0,0,2,0,-10.6825,-38.2907
Iaçu,2911907.0,2020-07-01,True,42,0.0952,4,2,0,-12.7666,-40.2056
Ibiassucê,2912004.0,2020-07-01,True,1,0.0,0,0,0,-14.2711,-42.257
Ibicaraí,2912103.0,2020-07-01,True,132,0.0076,1,2,0,-14.8579,-39.5914
Ibicoara,2912202.0,2020-07-01,True,1,0.0,0,0,0,-13.4059,-41.284
Ibicuí,2912301.0,2020-07-01,True,32,0.0,0,3,0,-14.845,-39.9879
Ibipeba,2912400.0,2020-07-01,True,5,0.0,0,0,0,-11.6438,-42.0195
Ibipitanga,2912509.0,2020-07-01,True,7,0.0,0,0,0,-12.8804,-42.4856
Ibiquera,2912608.0,2020-07-01,True,0,0.0,0,0,0,-12.6444,-40.9338
Ibirapitanga,2912707.0,2020-07-01,True,88,0.0114,1,8,0,-14.1649,-39.3787
Ibirapuã,2912806.0,2020-07-01,True,55,0.0182,1,0,0,-17.6832,-40.1129
Ibirataia,2912905.0,2020-07-01,True,61,0.0328,2,0,0,-14.0643,-39.6459
Ibitiara,2913002.0,2020-07-01,True,8,0.125,1,1,0,-12.6502,-42.2179
Ibotirama,2913200.0,2020-07-01,True,26,0.0,0,1,0,-12.1779,-43.2167
Ichu,2913309.0,2020-07-01,True,2,0.0,0,0,0,-11.7431,-39.1905
Igaporã,2913408.0,2020-07-01,True,1,0.0,0,0,0,-13.774000000000001,-42.7155
Igrapiúna,2913457.0,2020-07-01,True,47,0.0213,1,14,0,-13.8295,-39.1361
Iguaí,2913507.0,2020-07-01,True,205,0.0049,1,10,0,-14.7528,-40.0894
Ilhéus,2913606.0,2020-07-01,True,1335,0.0345,46,68,1,-14.793,-39.046
Importados/Indefinidos,,2020-07-01,True,3597,0.0017,6,28,0,,
Inhambupe,2913705.0,2020-07-01,True,17,0.0588,1,0,1,-11.780999999999999,-38.355
Ipecaetá,2913804.0,2020-07-01,True,6,0.0,0,1,0,-12.3028,-39.3069
Ipiaú,2913903.0,2020-07-01,True,705,0.0142,10,12,0,-14.1226,-39.7353
Ipirá,2914000.0,2020-07-01,True,74,0.027000000000000003,2,1,0,-12.1561,-39.7359
Iramaia,2914307.0,2020-07-01,True,2,0.0,0,0,0,-13.2902,-40.9595
Iraquara,2914406.0,2020-07-01,True,49,0.0,0,21,0,-12.2429,-41.6155
Irará,2914505.0,2020-07-01,True,26,0.0,0,-2,0,-12.0504,-38.7631
Irecê,2914604.0,2020-07-01,True,104,0.0096,1,17,0,-11.3033,-41.8535
Itabela,2914653.0,2020-07-01,True,79,0.0127,1,1,0,-16.5732,-39.5593
Itaberaba,2914703.0,2020-07-01,True,264,0.0341,9,17,0,-12.5242,-40.3059
Itabuna,2914802.0,2020-07-01,True,2637,0.022000000000000002,58,57,2,-14.7876,-39.2781
Itacaré,2914901.0,2020-07-01,True,120,0.025,3,0,0,-14.2784,-38.9959
Itaeté,2915007.0,2020-07-01,True,47,0.0,0,0,0,-12.9831,-40.9677
Itagi,2915106.0,2020-07-01,True,11,0.0,0,0,0,-14.1615,-40.0131
