city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,lat,lon
Castro Alves,2907301.0,2020-07-01,27,26264.0,True,False,62,236.06457999999998,2020-07-01,0.0161,1,75,city,BA,2,0,-12.7579,-39.4248
Catolândia,2907400.0,2020-07-01,27,3577.0,True,False,1,27.956390000000003,2020-07-01,0.0,0,19,city,BA,0,0,-12.31,-44.8648
Catu,2907509.0,2020-07-01,27,54704.0,True,False,302,552.06201,2020-07-01,0.0066,2,93,city,BA,12,0,-12.3513,-38.3791
Caém,2905107.0,2020-07-01,27,9213.0,True,False,66,716.37903,2020-07-01,0.0,0,45,city,BA,6,0,-11.0677,-40.431999999999995
Central,2907608.0,2020-07-01,27,17266.0,True,False,0,,2020-07-01,0.0,0,33,city,BA,0,0,-11.1376,-42.1116
Chorrochó,2907707.0,2020-07-01,27,11177.0,True,False,1,8.94694,2020-07-01,0.0,0,27,city,BA,0,0,-8.9695,-39.0979
Cipó,2907905.0,2020-07-01,27,17300.0,True,False,19,109.82659,2020-07-01,0.0,0,39,city,BA,0,0,-11.1032,-38.5179
Coaraci,2908002.0,2020-07-01,27,16993.0,True,False,72,423.70387999999997,2020-07-01,0.0417,3,93,city,BA,4,0,-14.637,-39.5556
Cocos,2908101.0,2020-07-01,27,18777.0,True,False,7,37.27965,2020-07-01,0.0,0,44,city,BA,0,0,-14.1814,-44.5352
Conceição da Feira,2908200.0,2020-07-01,27,22581.0,True,False,96,425.13617999999997,2020-07-01,0.0104,1,49,city,BA,1,0,-12.5078,-38.9978
Conceição do Almeida,2908309.0,2020-07-01,27,17247.0,True,False,37,214.53006000000002,2020-07-01,0.0,0,48,city,BA,3,0,-12.7836,-39.1715
Conceição do Coité,2908408.0,2020-07-01,27,66612.0,True,False,190,285.23389,2020-07-01,0.0,0,85,city,BA,13,0,-11.56,-39.2808
Conceição do Jacuípe,2908507.0,2020-07-01,27,33153.0,True,False,161,485.62724000000003,2020-07-01,0.0,0,102,city,BA,3,0,-12.3268,-38.7684
Conde,2908606.0,2020-07-01,27,25837.0,True,False,40,154.81673999999998,2020-07-01,0.1,4,100,city,BA,3,0,-11.8179,-37.6131
Condeúba,2908705.0,2020-07-01,27,17247.0,True,False,26,150.75086000000002,2020-07-01,0.0,0,44,city,BA,2,0,-14.9022,-41.9718
Coração de Maria,2908903.0,2020-07-01,27,22605.0,True,False,54,238.8852,2020-07-01,0.0,0,75,city,BA,5,0,-12.2333,-38.7487
Cordeiros,2909000.0,2020-07-01,27,8614.0,True,False,1,11.609010000000001,2020-07-01,0.0,0,22,city,BA,0,0,-15.0356,-41.9308
Coribe,2909109.0,2020-07-01,27,14194.0,True,False,2,14.09046,2020-07-01,0.0,0,6,city,BA,-1,0,-13.8232,-44.4586
Coronel João Sá,2909208.0,2020-07-01,27,15895.0,True,False,14,88.07800999999999,2020-07-01,0.0,0,36,city,BA,0,0,-10.2847,-37.9198
Correntina,2909307.0,2020-07-01,27,32137.0,True,False,5,15.55839,2020-07-01,0.0,0,30,city,BA,0,0,-13.3477,-44.6333
Cotegipe,2909406.0,2020-07-01,27,13782.0,True,False,1,7.255839999999999,2020-07-01,0.0,0,2,city,BA,0,0,-12.0228,-44.2566
Cravolândia,2909505.0,2020-07-01,27,5349.0,True,False,4,74.78033,2020-07-01,0.0,0,72,city,BA,-1,0,-13.3531,-39.8031
Cristópolis,2909703.0,2020-07-01,27,13910.0,True,False,27,194.10496,2020-07-01,0.0,0,48,city,BA,2,0,-12.2249,-44.4214
Crisópolis,2909604.0,2020-07-01,27,21103.0,True,False,11,52.12529,2020-07-01,0.0,0,37,city,BA,3,0,-11.5059,-38.1515
Cruz das Almas,2909802.0,2020-07-01,27,63239.0,True,False,101,159.71157,2020-07-01,0.0198,2,69,city,BA,12,0,-12.6675,-39.1008
Curaçá,2909901.0,2020-07-01,27,34700.0,True,False,68,195.96542,2020-07-01,0.0,0,77,city,BA,2,0,-8.984580000000001,-39.8997
Cândido Sales,2906709.0,2020-07-01,27,25189.0,True,False,102,404.93866,2020-07-01,0.0294,3,40,city,BA,15,0,-15.4993,-41.2414
Cícero Dantas,2907806.0,2020-07-01,27,32515.0,True,False,34,104.56711999999999,2020-07-01,0.0294,1,35,city,BA,1,0,-10.5897,-38.3794
Dias d'Ávila,2910057.0,2020-07-01,27,81089.0,True,False,420,517.94941,2020-07-01,0.0262,11,94,city,BA,22,2,-12.6187,-38.2926
Dom Basílio,2910107.0,2020-07-01,27,12199.0,True,False,6,49.18436,2020-07-01,0.0,0,53,city,BA,1,0,-13.7565,-41.7677
Dom Macedo Costa,2910206.0,2020-07-01,27,4058.0,True,False,8,197.14145,2020-07-01,0.0,0,23,city,BA,1,0,-12.9016,-39.1923
Dário Meira,2910008.0,2020-07-01,27,10710.0,True,False,24,224.08964,2020-07-01,0.0417,1,65,city,BA,2,0,-14.4229,-39.9031
Elísio Medrado,2910305.0,2020-07-01,27,8122.0,True,False,2,24.62448,2020-07-01,0.0,0,6,city,BA,0,0,-12.9417,-39.5191
Encruzilhada,2910404.0,2020-07-01,27,17006.0,True,False,56,329.29554,2020-07-01,0.0,0,51,city,BA,0,0,-15.5302,-40.9124
Entre Rios,2910503.0,2020-07-01,27,41780.0,True,False,74,177.11824,2020-07-01,0.0,0,51,city,BA,1,0,-11.9392,-38.0871
Esplanada,2910602.0,2020-07-01,27,37237.0,True,False,42,112.79104,2020-07-01,0.0,0,40,city,BA,4,0,-11.7942,-37.9432
Euclides da Cunha,2910701.0,2020-07-01,27,60585.0,True,False,29,47.86663,2020-07-01,0.0345,1,85,city,BA,4,0,-10.5078,-39.0153
Eunápolis,2910727.0,2020-07-01,27,113380.0,True,False,653,575.9393200000001,2020-07-01,0.0184,12,78,city,BA,41,2,-16.3715,-39.5821
Feira da Mata,2910776.0,2020-07-01,27,5665.0,True,False,4,70.609,2020-07-01,0.0,0,5,city,BA,0,0,-14.2044,-44.2744
Feira de Santana,2910800.0,2020-07-01,27,614872.0,True,False,3289,534.9080799999999,2020-07-01,0.0149,49,118,city,BA,93,1,-12.2664,-38.9663
Filadélfia,2910859.0,2020-07-01,27,16377.0,True,False,87,531.23283,2020-07-01,0.023,2,32,city,BA,13,0,-10.7405,-40.1437
